v,cwmin,cwmax,slotlength,txPower,TotalLostPackets_media,delayMedio_media,throughputMedioBPS_media
1,128,1024,10,1.26,3.696969696969697,0.00532766600560606,3387224.14141041
1,128,1024,10,10.0,242.3235294117647,0.01229053285391176,804837.0629426116
1,128,1024,10,100.0,482.27777777777777,0.004449676043444446,1468143.2932416473
1,128,1024,10,1258.93,1.1944444444444444,0.004042659756305555,1537640.2531154961
1,128,1024,10,15.85,386.8611111111111,0.011416419550444444,829116.8569913794
1,128,1024,10,1584.89,5.583333333333333,0.0039485940350833335,1581503.0209973746
1,128,1024,10,2.51,59.18181818181818,0.00395211994339394,3442081.9577350733
1,128,1024,10,25.12,627.6944444444445,0.005820272174583332,1383725.0746467263
1,128,1024,10,251.19,1.0833333333333333,0.0038794720802222235,1579849.586174225
1,128,1024,10,3.98,85.96969696969697,0.004211015600848485,2321392.6111276476
1,128,1024,10,50.12,360.55555555555554,0.0045965500363333335,1445041.6881801323
1,128,1024,10,501.19,159.69444444444446,0.004195431548638888,1507482.151817811
1,128,1024,10,794.33,714.3888888888889,0.004448145607194445,1468726.447581429
1,128,1024,100,1.26,7.818181818181818,0.0053206387742424244,3370717.407846801
1,128,1024,100,10.0,306.4117647058824,0.007854776315617647,1138334.0956173125
1,128,1024,100,100.0,801.1111111111111,0.004614455590472221,1435795.6132383752
1,128,1024,100,1258.93,251.22222222222223,0.003730759207027777,1623579.4766928107
1,128,1024,100,15.85,335.94444444444446,0.004929491379083333,1453411.8303212244
1,128,1024,100,1584.89,804.8333333333334,0.004447898950777776,1446965.562970941
1,128,1024,100,2.51,20.303030303030305,0.0039056807308787884,3409138.603099993
1,128,1024,100,25.12,1172.138888888889,0.0067102513618055555,1269574.3489000415
1,128,1024,100,251.19,0.0,0.004062632269027778,1565239.6623423346
1,128,1024,100,3.98,42.21212121212121,0.004237627889848486,2317338.326344313
1,128,1024,100,50.12,962.7222222222222,0.004990824200666665,1397993.7941022632
1,128,1024,100,501.19,515.3888888888889,0.004344545182833333,1506406.9424550997
1,128,1024,100,794.33,2.5555555555555554,0.003950043228388889,1533267.4833394648
1,128,1024,15,1.26,13.484848484848484,0.0051550130049696965,3353485.0345375086
1,128,1024,15,10.0,103.58823529411765,0.012371880509352944,774945.9227483317
1,128,1024,15,100.0,733.9166666666666,0.0047840763433888885,1417350.313040852
1,128,1024,15,1258.93,144.61111111111111,0.004064343467305556,1564313.8667989718
1,128,1024,15,15.85,156.47222222222223,0.008759542214,1127226.208151795
1,128,1024,15,1584.89,1.2222222222222223,0.0040320170577500015,1534472.4853191515
1,128,1024,15,2.51,16.151515151515152,0.003899051247212121,3471248.4030324165
1,128,1024,15,25.12,388.05555555555554,0.005854148607527778,1331459.6622297855
1,128,1024,15,251.19,914.6944444444445,0.004514806304,1443876.0696818694
1,128,1024,15,3.98,29.393939393939394,0.004294245533545455,2286572.3039403725
1,128,1024,15,50.12,828.8611111111111,0.004890238881194443,1406860.5506648119
1,128,1024,15,501.19,173.47222222222223,0.004190812297611111,1558389.3642851992
1,128,1024,15,794.33,1.2777777777777777,0.004114002817222222,1533853.8834832828
1,128,1024,20,1.26,4.848484848484849,0.005497472663939393,3374334.9896169296
1,128,1024,20,10.0,70.41176470588235,0.007067244442176469,1432364.1328593486
1,128,1024,20,100.0,348.02777777777777,0.004234078613,1484970.3742983884
1,128,1024,20,1258.93,1.3611111111111112,0.004128989975888888,1550383.852514761
1,128,1024,20,15.85,152.05555555555554,0.010817204238694443,869127.3860241155
1,128,1024,20,1584.89,1.5555555555555556,0.004111367802416667,1563300.9296367667
1,128,1024,20,2.51,47.878787878787875,0.003953135475545454,3422391.153441805
1,128,1024,20,25.12,193.19444444444446,0.007330886100138888,1103997.2246208186
1,128,1024,20,251.19,1055.8055555555557,0.006110717560833332,1272303.7758693777
1,128,1024,20,3.98,64.63636363636364,0.003852596728787879,2435857.19501888
1,128,1024,20,50.12,207.5,0.004555911298555555,1475091.083432009
1,128,1024,20,501.19,225.66666666666666,0.00372680523475,1586602.779948074
1,128,1024,20,794.33,0.0,0.0041470571108888875,1532392.5299746043
1,128,1024,25,1.26,18.818181818181817,0.005357574100484849,3316493.890940559
1,128,1024,25,10.0,238.5,0.012966127948647058,757243.3067009116
1,128,1024,25,100.0,409.05555555555554,0.004260176530111111,1455868.9792259382
1,128,1024,25,1258.93,942.6666666666666,0.004388333580833333,1445608.99428132
1,128,1024,25,15.85,649.75,0.005321264154416667,1417622.20063113
1,128,1024,25,1584.89,1.5555555555555556,0.004171581846777778,1504048.9779312208
1,128,1024,25,2.51,36.0,0.003871630545242424,3411610.762655708
1,128,1024,25,25.12,434.22222222222223,0.005481963098333336,1388393.8445719802
1,128,1024,25,251.19,1.3055555555555556,0.004013856365194445,1553802.435462862
1,128,1024,25,3.98,61.42424242424242,0.004036487203272727,2348835.551125572
1,128,1024,25,50.12,916.8611111111111,0.004843299281194445,1410998.1296756607
1,128,1024,25,501.19,3.0,0.003856232406333333,1555536.869591397
1,128,1024,25,794.33,371.72222222222223,0.0038136916014166666,1594506.2359550782
1,128,1024,30,1.26,7.333333333333333,0.0027510510896666665,3493433.4619086296
1,128,1024,30,10.0,819.1764705882352,0.012885526275794115,873400.2082082119
1,128,1024,30,100.0,292.02777777777777,0.004402925465000001,1469374.8936162556
1,128,1024,30,1258.93,111.66666666666667,0.006451844997888889,1236553.5437779734
1,128,1024,30,15.85,555.0833333333334,0.009896626052111106,1052220.4712465177
1,128,1024,30,1584.89,1.5,0.003933817044805555,1624464.708669874
1,128,1024,30,2.51,37.121212121212125,0.004222620654,3457302.920983806
1,128,1024,30,25.12,512.4444444444445,0.00590977821261111,1298666.1934856942
1,128,1024,30,251.19,9.555555555555555,0.003977833198777778,1561791.522116349
1,128,1024,30,3.98,49.45454545454545,0.004332398674696969,2302137.668552871
1,128,1024,30,50.12,534.4166666666666,0.004836700107749999,1381578.7500632934
1,128,1024,30,501.19,353.19444444444446,0.004260978256861111,1524683.707141281
1,128,1024,30,794.33,153.69444444444446,0.004212777411972222,1514205.3943374192
1,128,1024,35,1.26,10.515151515151516,0.005400628026636364,3396807.15851017
1,128,1024,35,10.0,273.20588235294116,0.008691586538470587,1232619.9195509618
1,128,1024,35,100.0,2.7777777777777777,0.004321329527583333,1494968.718178885
1,128,1024,35,1258.93,733.75,0.0042380551576944436,1518203.51141601
1,128,1024,35,15.85,338.97222222222223,0.009647427290638886,898207.123617537
1,128,1024,35,1584.89,110.58333333333333,0.0038288924467222213,1566410.7390029412
1,128,1024,35,2.51,4.909090909090909,0.0038312485754545453,3478227.036764964
1,128,1024,35,25.12,863.8611111111111,0.00812505106825,1041364.928238646
1,128,1024,35,251.19,0.9444444444444444,0.003946499277777777,1586406.0481271176
1,128,1024,35,3.98,10.545454545454545,0.003941819579242426,2385583.3788512195
1,128,1024,35,50.12,24.333333333333332,0.004670468320277777,1459770.1679105556
1,128,1024,35,501.19,778.5277777777778,0.004001389588583334,1538845.7635707702
1,128,1024,35,794.33,4.194444444444445,0.003841468173750001,1579212.013938656
1,128,1024,40,1.26,9.212121212121213,0.0051283873684848475,3554064.7655021735
1,128,1024,40,10.0,302.44117647058823,0.009298609126735293,1218396.4718853356
1,128,1024,40,100.0,333.30555555555554,0.004096291982027777,1549410.9721904825
1,128,1024,40,1258.93,0.0,0.004136920312777777,1523459.5444238305
1,128,1024,40,15.85,111.33333333333333,0.00883662221975,1111452.7339559621
1,128,1024,40,1584.89,0.0,0.004223156560527778,1469293.3428221205
1,128,1024,40,2.51,30.78787878787879,0.0038696491846666667,3395288.9586866284
1,128,1024,40,25.12,748.3888888888889,0.00648929300588889,1271609.9717020034
1,128,1024,40,251.19,357.47222222222223,0.0035425321410000013,1685133.4712010534
1,128,1024,40,3.98,43.09090909090909,0.004311517834515152,2337692.295037569
1,128,1024,40,50.12,296.97222222222223,0.007699918272444444,1020118.3783000567
1,128,1024,40,501.19,621.7777777777778,0.003898482477305556,1565449.488934149
1,128,1024,40,794.33,1.5,0.004107403145583332,1544056.0239958535
1,128,1024,45,1.26,3.5757575757575757,0.005313361835484849,3414010.97763736
1,128,1024,45,10.0,243.0,0.011350608972911767,955813.2095704755
1,128,1024,45,100.0,3.1944444444444446,0.004384281784222222,1444190.7828837673
1,128,1024,45,1258.93,159.75,0.004050627625305556,1553315.7840547662
1,128,1024,45,15.85,557.2222222222222,0.00846148050163889,1130297.5872850127
1,128,1024,45,1584.89,945.8333333333334,0.006495396825,1188427.2083563514
1,128,1024,45,2.51,37.60606060606061,0.003654438927545454,3514962.818788304
1,128,1024,45,25.12,396.77777777777777,0.005866242172083331,1321760.8912268006
1,128,1024,45,251.19,1.5555555555555556,0.0039827791295833324,1535250.5647511568
1,128,1024,45,3.98,138.36363636363637,0.0045665997736969695,2287454.019405
1,128,1024,45,50.12,458.0833333333333,0.004726823679694443,1369334.6223122631
1,128,1024,45,501.19,221.86111111111111,0.0037821665892777776,1633436.976326745
1,128,1024,45,794.33,689.7222222222222,0.0044279915415277775,1448287.5837143175
1,128,1024,5,1.26,45.878787878787875,0.005361600843,3355864.618878749
1,128,1024,5,10.0,402.6764705882353,0.013088317217000003,763679.5998960736
1,128,1024,5,100.0,155.33333333333334,0.00452817503275,1460259.161010121
1,128,1024,5,1258.93,0.6944444444444444,0.0040829546363055575,1533340.3743140595
1,128,1024,5,15.85,207.61111111111111,0.00437163241138889,1572710.14838118
1,128,1024,5,1584.89,1.8611111111111112,0.005954250140277777,1270909.8897339609
1,128,1024,5,2.51,29.90909090909091,0.003987852188333334,3397318.841168158
1,128,1024,5,25.12,192.13888888888889,0.005890352453638889,1293135.2488594553
1,128,1024,5,251.19,760.0833333333334,0.004261232652638889,1460143.2179499152
1,128,1024,5,3.98,49.09090909090909,0.0042818710360606055,2301165.4987745816
1,128,1024,5,50.12,300.44444444444446,0.004323591873777779,1493811.3923909431
1,128,1024,5,501.19,279.6388888888889,0.004125866638055555,1505479.523785728
1,128,1024,5,794.33,769.4444444444445,0.0044181883183055555,1447707.0339824336
1,128,1024,50,1.26,3.6666666666666665,0.005367877978454546,3304110.97683259
1,128,1024,50,10.0,225.5,0.012870198813352943,776404.8993348194
1,128,1024,50,100.0,67.77777777777777,0.007067095760444443,1076231.8320507454
1,128,1024,50,1258.93,167.44444444444446,0.0042056659655,1488874.5753034751
1,128,1024,50,15.85,320.3888888888889,0.01178954656969444,842043.5892024841
1,128,1024,50,1584.89,461.4166666666667,0.003980230128472223,1549486.8403432113
1,128,1024,50,2.51,30.424242424242426,0.003900166640272727,3414594.0058862045
1,128,1024,50,25.12,258.25,0.0059889465909166665,1291298.474990283
1,128,1024,50,251.19,0.0,0.004157064629527777,1509955.4562169285
1,128,1024,50,3.98,5.0606060606060606,0.004284724178151515,2322295.175974964
1,128,1024,50,50.12,1.1944444444444444,0.0046604465671944454,1424656.9917338314
1,128,1024,50,501.19,533.3055555555555,0.0042872621063055555,1494095.5916259885
1,128,1024,50,794.33,187.88888888888889,0.004104331227583334,1538513.6863698654
1,128,1024,55,1.26,6.696969696969697,0.005370528079727273,3534496.5958255855
1,128,1024,55,10.0,124.1470588235294,0.0069187018635588245,1426212.3039392673
1,128,1024,55,100.0,270.5,0.0044403437567222225,1485631.766186019
1,128,1024,55,1258.93,0.0,0.004129415453361112,1534173.9993106937
1,128,1024,55,15.85,446.52777777777777,0.012108012073388892,807189.6372709303
1,128,1024,55,1584.89,2.5277777777777777,0.005693763926305555,1330013.21616221
1,128,1024,55,2.51,5.818181818181818,0.003905224147060607,3360118.136011045
1,128,1024,55,25.12,188.41666666666666,0.005379372206805555,1364821.2573394575
1,128,1024,55,251.19,98.25,0.004133494832527777,1509402.5048603266
1,128,1024,55,3.98,34.90909090909091,0.0038183355840000007,2705541.4154591407
1,128,1024,55,50.12,632.6944444444445,0.004667123131472221,1396373.9482934836
1,128,1024,55,501.19,2.9166666666666665,0.003894290190694444,1555457.668664241
1,128,1024,55,794.33,36.75,0.0041498537858055545,1517120.259812986
1,128,1024,60,1.26,10.575757575757576,0.005379478689090909,3396493.5489111925
1,128,1024,60,10.0,126.20588235294117,0.012781122029500002,769712.5531559974
1,128,1024,60,100.0,28.52777777777778,0.0044678447622777786,1503901.7942688765
1,128,1024,60,1258.93,159.27777777777777,0.004230131232833333,1504585.4898286653
1,128,1024,60,15.85,243.0,0.00685158467213889,1450836.2102768184
1,128,1024,60,1584.89,1.8611111111111112,0.004096323932,1549152.6538561527
1,128,1024,60,2.51,20.424242424242426,0.00369733078130303,3464799.250068713
1,128,1024,60,25.12,351.55555555555554,0.005925084357916667,1271930.9874796872
1,128,1024,60,251.19,423.44444444444446,0.0039096643775277775,1585944.2625252604
1,128,1024,60,3.98,51.54545454545455,0.003857333940242423,2539815.7818318373
1,128,1024,60,50.12,135.61111111111111,0.0060025225229444435,1304059.478604338
1,128,1024,60,501.19,582.0833333333334,0.004371566488305557,1477862.514409774
1,128,1024,60,794.33,93.38888888888889,0.003936183281333334,1603461.3629596473
1,128,1024,65,1.26,6.333333333333333,0.005380852902090909,3371577.4279674636
1,128,1024,65,10.0,136.7058823529412,0.008991232769911763,1402053.325868654
1,128,1024,65,100.0,298.02777777777777,0.004418789900222222,1487010.282904851
1,128,1024,65,1258.93,639.8888888888889,0.004348954412833335,1458533.033703654
1,128,1024,65,15.85,376.55555555555554,0.004834590697138888,1484930.2283498107
1,128,1024,65,1584.89,0.0,0.00412369860711111,1555794.4428833271
1,128,1024,65,2.51,21.636363636363637,0.0038914584101818177,3447252.6128518647
1,128,1024,65,25.12,602.3333333333334,0.006027776931805556,1286643.5245227371
1,128,1024,65,251.19,590.5555555555555,0.004243112674472223,1492623.1477479695
1,128,1024,65,3.98,9.333333333333334,0.004221058049090911,2358516.871140376
1,128,1024,65,50.12,434.27777777777777,0.0045519405600277785,1483122.7757713012
1,128,1024,65,501.19,0.0,0.004154117335694444,1526198.8229561856
1,128,1024,65,794.33,3.5833333333333335,0.003884745808,1555688.2273237421
1,128,1024,70,1.26,0.3333333333333333,0.00539506586330303,3404070.1849940876
1,128,1024,70,10.0,400.8529411764706,0.013217742352588234,732250.2695410188
1,128,1024,70,100.0,222.41666666666666,0.004580000144527777,1405557.3492460018
1,128,1024,70,1258.93,2.111111111111111,0.0038358375152777774,1557002.6934345535
1,128,1024,70,15.85,296.5,0.008947843337305555,1081829.6508086151
1,128,1024,70,1584.89,0.0,0.004125317429250001,1554359.2982531404
1,128,1024,70,2.51,24.666666666666668,0.00399588721590909,3462969.3016947014
1,128,1024,70,25.12,1096.0833333333333,0.006297972279999999,1261674.130501555
1,128,1024,70,251.19,474.3333333333333,0.003963694092555556,1567352.0357220909
1,128,1024,70,3.98,124.81818181818181,0.004329177150848486,2321761.374318977
1,128,1024,70,50.12,281.9166666666667,0.004283481806638888,1448530.6448339934
1,128,1024,70,501.19,2.1666666666666665,0.0038129900205555564,1617636.3031777756
1,128,1024,70,794.33,424.55555555555554,0.004148281321805555,1536104.4094696725
1,128,1024,75,1.26,0.42424242424242425,0.0021333149737575753,4178064.0494110584
1,128,1024,75,10.0,134.7941176470588,0.013435632886235295,763774.7739943219
1,128,1024,75,100.0,100.66666666666667,0.00428777754511111,1503462.7266598109
1,128,1024,75,1258.93,839.5,0.004469764669722222,1436048.930788783
1,128,1024,75,15.85,278.0833333333333,0.009456270529388888,967344.9248103346
1,128,1024,75,1584.89,2.9166666666666665,0.003999148067583333,1571615.2665007245
1,128,1024,75,2.51,18.848484848484848,0.0038454418594848485,3477813.0102889393
1,128,1024,75,25.12,313.77777777777777,0.005436867489111114,1361242.771927987
1,128,1024,75,251.19,311.3333333333333,0.004011790033888889,1545373.3733200384
1,128,1024,75,3.98,15.212121212121213,0.004299452884454546,2329632.781261349
1,128,1024,75,50.12,230.44444444444446,0.004645006977027778,1401221.5550250637
1,128,1024,75,501.19,146.0,0.004174865514666667,1546754.9990068974
1,128,1024,75,794.33,96.0,0.0038923798313055557,1561144.1174744924
