gen,pop_size,TotalLostPackets_media,delayMedio_media,throughputMedioBPS_media,simulations_count
1, 5, 288.80952380952385, 0.009188717455708572, 1323612908.6722596, 4
2, 5, 257.627619047619, 0.009212485313708572, 1310125480.909737, 8
3, 5, 247.98095238095246, 0.00914455517313524, 1361667446.5529382, 12
4, 5, 290.13047619047626, 0.008993361849148573, 1366438422.138674, 15
5, 5, 299.1228571428572, 0.00938584002608, 1323962961.2838898, 19
6, 5, 372.8895238095239, 0.009545742697479048, 1295524542.427893, 23
7, 5, 386.60857142857145, 0.010003372008968569, 1243782048.7793705, 26
8, 5, 304.51523809523803, 0.009745320065313331, 1282092084.4059484, 30
9, 5, 301.39428571428573, 0.010656876303277144, 1169956082.7746313, 34
10, 5, 326.05714285714294, 0.009556763520925715, 1300744484.8789628, 37
11, 5, 306.4638095238096, 0.008666162981017142, 1401603222.7149942, 41
12, 5, 335.5780952380952, 0.008959742123637144, 1352587139.4423835, 44
13, 5, 370.84380952380945, 0.008890737694836191, 1453084067.373538, 48
14, 5, 355.1380952380952, 0.009431442752029522, 1335544701.5547342, 52
15, 5, 333.12380952380954, 0.009849675730176189, 1290435149.2061796, 56
16, 5, 286.5133333333333, 0.009288263911650472, 1316177001.6499135, 59
17, 5, 310.79238095238094, 0.008933975594255237, 1390166494.1300616, 63
18, 5, 299.6152380952381, 0.00860982649041143, 1454653693.701271, 66
19, 5, 294.64, 0.008502282420645714, 1376188048.7972307, 70
20, 5, 291.4819047619047, 0.00926753866951714, 1352480035.2605019, 74
21, 5, 357.5390476190476, 0.009655206835733334, 1296551676.6921449, 77
22, 5, 294.6971428571429, 0.009554901707077143, 1333595983.6259487, 81
23, 5, 292.3390476190476, 0.008987155165088571, 1324993568.5260978, 85
24, 5, 277.52285714285716, 0.00843996278065238, 1439104091.7373047, 89
25, 5, 311.65428571428566, 0.009077717394646665, 1342425946.2453034, 93
26, 5, 291.92761904761903, 0.008970545732384762, 1413693007.7631686, 96
27, 5, 234.167619047619, 0.009757452894516188, 1290921944.2698576, 100
28, 5, 274.3638095238095, 0.00984242857972952, 1272724731.8825617, 104
29, 5, 308.59714285714284, 0.00969549823596571, 1295100483.098352, 108
30, 5, 345.3542857142857, 0.009542049646251426, 1269299748.372938, 112
31, 5, 288.51714285714286, 0.00970185737805714, 1258661107.2371583, 115
32, 5, 272.5942857142857, 0.009463734918955236, 1321223854.2773285, 119
33, 5, 308.4085714285714, 0.009310908363687616, 1384397386.817458, 122
34, 5, 290.3590476190476, 0.009134320100850473, 1379583662.9195585, 126
35, 5, 324.02571428571423, 0.009521004624475238, 1346338686.3147683, 129
36, 5, 371.2438095238095, 0.009447444957492383, 1310027710.7407136, 133
37, 5, 289.6571428571428, 0.010247219501679046, 1211935978.7164667, 136
38, 5, 224.14571428571435, 0.009884898760718094, 1283208807.943619, 140
39, 5, 279.4876190476191, 0.009857085655355237, 1268654500.0648067, 144
40, 5, 306.3161904761904, 0.009973570953027618, 1288329470.8917413, 147
41, 5, 287.3914285714285, 0.010058313521753333, 1315648867.706898, 151
42, 5, 314.2123809523809, 0.010793815659946665, 1250468294.1113477, 154
43, 5, 282.5190476190476, 0.010559669144060004, 1325418521.6975167, 158
44, 5, 255.04285714285712, 0.009420775005509526, 1334486368.437171, 161
45, 5, 270.8571428571429, 0.00966768571159524, 1257463703.8434534, 165
46, 5, 284.55142857142863, 0.01001486450883619, 1212384215.0301018, 168
47, 5, 335.5980952380953, 0.00982835122840762, 1340705117.0497468, 172
48, 5, 325.83619047619044, 0.00948539404934381, 1317967167.4784563, 176
49, 5, 304.8866666666666, 0.009304906517965717, 1347522854.3149962, 179
50, 5, 142.92380952380955, 0.007299771869803811, 1965894778.6237836, 183
1, 10, 280.5904761904762, 0.011670368322673335, 1031435615.9533179, 8
2, 10, 296.32857142857137, 0.011619916124195242, 1044949328.4665909, 17
3, 10, 299.03809523809525, 0.011766427379420002, 1047603564.1335485, 26
4, 10, 290.7609523809524, 0.01231459427209143, 981702448.7643455, 35
5, 10, 303.57047619047614, 0.012152039303242858, 986905730.6613847, 43
6, 10, 291.0371428571428, 0.011646876032494285, 1047279187.5045892, 52
7, 10, 289.7209523809524, 0.012089278956056188, 1000425725.2729434, 60
8, 10, 284.9428571428572, 0.012427498754429521, 971945335.6437362, 69
9, 10, 315.6609523809523, 0.012539528465791427, 974933261.1486057, 77
10, 10, 302.9628571428571, 0.012304519059523808, 986579558.5306227, 85
11, 10, 279.37809523809517, 0.012454584763997145, 967108617.4376392, 93
12, 10, 279.7, 0.011784504619704757, 1047626528.6069844, 100
13, 10, 289.09238095238095, 0.011682397270540946, 1041071004.505928, 108
14, 10, 273.67333333333335, 0.011742829350960946, 1028374781.7273513, 116
15, 10, 297.7076190476192, 0.011859150342416186, 1043709629.5456692, 124
16, 10, 300.20666666666676, 0.011876796034530469, 1024507212.8291668, 131
17, 10, 282.6342857142857, 0.011538451113629522, 1067014469.6425735, 139
18, 10, 288.5323809523809, 0.011059656236059047, 1105006992.3850555, 147
19, 10, 304.85714285714283, 0.01139656820673714, 1080687714.1244369, 155
20, 10, 277.33333333333326, 0.011940764345021901, 1017952284.0643309, 162
21, 10, 264.3666666666667, 0.011908087052735238, 1023901972.7489768, 170
22, 10, 259.7771428571429, 0.011763700412572383, 1036803410.1223176, 177
23, 10, 277.8904761904762, 0.011322164847955238, 1081316995.7530959, 184
24, 10, 248.33047619047616, 0.01141759599335143, 1072950915.5244118, 192
25, 10, 269.9314285714285, 0.011839922233862857, 1056792079.0715073, 199
26, 10, 290.8971428571428, 0.01162808232040381, 1066184713.8388913, 206
27, 10, 288.99523809523805, 0.011271623795125713, 1086983118.8829536, 213
28, 10, 309.37904761904764, 0.01110861429815238, 1128219010.589165, 221
29, 10, 260.9628571428571, 0.010918460518360002, 1124771364.7809691, 228
30, 10, 262.66380952380956, 0.01130132048342, 1100291866.9396577, 235
31, 10, 286.6495238095239, 0.011526328123610477, 1064488769.4829469, 242
32, 10, 246.36190476190478, 0.011283801647460954, 1121625986.238532, 249
33, 10, 306.76095238095235, 0.011666398377401908, 1068389419.3265285, 256
34, 10, 308.81714285714287, 0.01129148770903619, 1093899384.6041682, 263
35, 10, 278.5590476190476, 0.011375632266100002, 1083644104.1345637, 271
36, 10, 282.0209523809524, 0.011580675765612383, 1062482285.2886586, 278
37, 10, 260.47619047619054, 0.011666122391652382, 1063318831.2325348, 285
38, 10, 303.6495238095238, 0.011643025777160953, 1069688821.7728099, 292
39, 10, 278.9857142857143, 0.011002014678573336, 1139114295.7350233, 300
40, 10, 264.8209523809524, 0.011310083620033334, 1103635826.0285647, 306
41, 10, 257.84666666666664, 0.01109371279238, 1140730752.0113337, 313
42, 10, 274.04476190476186, 0.011043784082378098, 1131920407.8285134, 320
43, 10, 308.00380952380954, 0.011097549923250478, 1131757261.4517255, 327
44, 10, 308.89142857142855, 0.011290433719041905, 1112593895.193331, 334
45, 10, 247.55047619047622, 0.011338317120121903, 1095511765.1883848, 340
46, 10, 242.84857142857146, 0.011457575456627619, 1089097372.843518, 348
47, 10, 238.0914285714286, 0.011449157159148569, 1082898216.8178701, 355
48, 10, 242.01904761904768, 0.011429348129399998, 1084700220.3244662, 362
49, 10, 229.01238095238102, 0.011437275210570474, 1077998471.992334, 369
50, 10, 101.75047619047618, 0.007838674823319047, 1687180473.5901246, 377
1, 15, 296.65238095238095, 0.011718386872364765, 1057109077.4521381, 14
2, 15, 306.1219047619048, 0.01241383003299333, 1000526742.3138001, 27
3, 15, 327.48571428571427, 0.01224032587494857, 995107565.1427623, 41
4, 15, 361.5352380952381, 0.012429370149701904, 986053789.6982445, 54
5, 15, 339.8219047619048, 0.012802130934512379, 952316297.6438581, 68
6, 15, 308.05238095238093, 0.01258765026298476, 960248620.568886, 81
7, 15, 327.7904761904761, 0.012873260970661903, 953438712.7517701, 94
8, 15, 336.5847619047619, 0.01246762244715143, 985039486.310331, 106
9, 15, 331.3133333333334, 0.012156964030703812, 1008617758.8138884, 118
10, 15, 341.73333333333335, 0.012430787662750475, 982867756.9390674, 130
11, 15, 314.3390476190477, 0.012164202864354287, 997014953.5905155, 143
12, 15, 323.0685714285713, 0.012517954928510476, 997350902.7362133, 154
13, 15, 290.6428571428571, 0.012435411874764763, 991566813.3735453, 167
14, 15, 310.17523809523806, 0.012041675536298096, 1013552064.6829869, 179
15, 15, 364.5361904761905, 0.011939770229881904, 1038570845.9238605, 190
16, 15, 345.2647619047619, 0.011892979518748572, 1041277417.3293421, 202
17, 15, 331.39904761904756, 0.012144229182715235, 1034133463.4383866, 214
18, 15, 353.66857142857145, 0.012381815402605712, 1036718058.6628053, 226
19, 15, 334.4533333333332, 0.012266750396980951, 1042016233.5761448, 237
20, 15, 351.36476190476185, 0.012413635400704759, 1004136199.8619198, 249
21, 15, 322.2371428571428, 0.012149062097118095, 1001397509.3855312, 260
22, 15, 316.4799999999999, 0.011601819817835236, 1083285383.7207632, 272
23, 15, 337.435238095238, 0.011840780335993334, 1079869747.298145, 283
24, 15, 337.74666666666667, 0.01175113295529143, 1076352678.6021163, 293
25, 15, 361.9314285714285, 0.012258894039074287, 1045422245.8726436, 305
26, 15, 364.9038095238094, 0.01209227044410952, 1061582294.1159537, 315
27, 15, 357.9552380952381, 0.011978662675539046, 1056729051.0988714, 327
28, 15, 323.9095238095238, 0.011527958691593333, 1096626040.2269962, 337
29, 15, 343.1780952380951, 0.011831394003306664, 1056814075.8569481, 348
30, 15, 344.2180952380952, 0.012041364837956191, 1050743299.82552, 359
31, 15, 320.0514285714285, 0.011697000549614287, 1073131961.6349233, 369
32, 15, 331.70571428571424, 0.011699808057128573, 1078317463.2081149, 380
33, 15, 335.5257142857142, 0.011822577704329528, 1062640374.1228746, 390
34, 15, 322.97523809523807, 0.011844692420598098, 1047778762.594288, 401
35, 15, 331.91619047619054, 0.01116079916922381, 1122508191.3633888, 412
36, 15, 308.73142857142864, 0.011674877863669523, 1083255797.823044, 423
37, 15, 313.2809523809525, 0.011930376547587617, 1054875602.0032213, 433
38, 15, 352.80571428571426, 0.011984855201348572, 1037087528.0813495, 443
39, 15, 347.70095238095234, 0.012261738932969524, 1023069284.0150253, 453
40, 15, 361.06571428571425, 0.012027649020046665, 1034547130.5328844, 463
41, 15, 364.4247619047619, 0.011855880006896191, 1071664002.3317784, 473
42, 15, 266.4695238095239, 0.011851955109230474, 1051618113.4272102, 483
43, 15, 292.2780952380952, 0.011475741799560953, 1080520656.7446017, 494
44, 15, 309.27523809523814, 0.011870886001149524, 1054103460.9517455, 503
45, 15, 278.62666666666667, 0.011693471939879048, 1079381739.1737473, 513
46, 15, 289.327619047619, 0.011655351952659048, 1084451375.7239084, 523
47, 15, 320.9704761904762, 0.011825726380923806, 1065222368.7179489, 534
48, 15, 356.1342857142857, 0.012084877199423808, 1044690407.5355325, 545
49, 15, 375.1980952380953, 0.012393906569085712, 1005870482.6632282, 557
50, 15, 138.4952380952381, 0.008050873932491428, 2026846666.6564372, 567
1, 20, 241.80285714285714, 0.012029344131866663, 978142796.0876628, 18
2, 20, 293.4819047619048, 0.012225555278943808, 973659229.9256114, 37
3, 20, 310.65047619047624, 0.012403933621305714, 972655841.5521342, 55
4, 20, 289.3495238095239, 0.012397721585580002, 964121915.3621316, 73
5, 20, 300.94190476190477, 0.012607422351694288, 954323232.0974884, 92
6, 20, 319.6809523809524, 0.01242011228648762, 985276097.3982365, 109
7, 20, 327.0028571428572, 0.012522472673061903, 970360596.762159, 127
8, 20, 308.9923809523809, 0.012891239531688572, 945602855.5902776, 144
9, 20, 330.6314285714286, 0.012913384277232381, 934847166.54259, 161
10, 20, 305.8647619047619, 0.01289577547963524, 933724090.8076817, 178
11, 20, 331.527619047619, 0.013019321832285713, 929233468.5012956, 195
12, 20, 328.04571428571427, 0.012838103861612382, 938242296.5952905, 212
13, 20, 323.5, 0.012792884975271429, 945433529.3562747, 228
14, 20, 309.0266666666667, 0.012890083168240004, 941398212.664411, 244
15, 20, 312.42571428571426, 0.012463476466842855, 963558388.3441806, 260
16, 20, 369.27714285714285, 0.012604605103645717, 971814636.2035062, 276
17, 20, 320.22952380952387, 0.012589280286097142, 959457701.9629644, 292
18, 20, 304.4752380952381, 0.012450842605672379, 967282673.3371409, 308
19, 20, 379.63047619047614, 0.012420804822626664, 1001801686.5733458, 324
20, 20, 362.3495238095237, 0.012700170230079048, 970986898.6675928, 339
21, 20, 377.12095238095225, 0.012680766959654284, 959404212.6342252, 355
22, 20, 362.7038095238094, 0.012683480707341899, 955114950.828278, 370
23, 20, 318.29428571428565, 0.012846264042316185, 959065361.0848241, 386
24, 20, 336.71333333333325, 0.012902792332539048, 971037826.1910869, 401
25, 20, 343.9742857142856, 0.012575113123599047, 987733201.9240607, 416
26, 20, 384.4609523809522, 0.012704080862756189, 980542689.987942, 431
27, 20, 418.46857142857135, 0.01264501490075238, 1001671738.7156618, 447
28, 20, 392.01904761904757, 0.012691628522787619, 984278059.7446836, 462
29, 20, 385.14666666666665, 0.012675192310126666, 979228522.5397295, 477
30, 20, 361.91619047619054, 0.012621321109344764, 979029070.2053677, 492
31, 20, 356.6752380952381, 0.012782920418753332, 965228962.8988879, 507
32, 20, 378.99714285714276, 0.012761709615710473, 988808226.2585567, 522
33, 20, 376.435238095238, 0.012510121953405711, 1000741768.0458977, 537
34, 20, 357.71619047619043, 0.012721454081679998, 985486793.6735997, 552
35, 20, 363.0504761904761, 0.01231914903805619, 1013833762.9032484, 566
36, 20, 375.39999999999986, 0.012282745877334283, 1033396991.194639, 581
37, 20, 363.86952380952374, 0.012561520365314287, 987129168.4147899, 596
38, 20, 396.66571428571416, 0.012836070151825717, 972176667.519775, 610
39, 20, 365.5780952380953, 0.012726340102818095, 982902731.3854249, 625
40, 20, 328.5361904761905, 0.012635033328056188, 981450253.4994885, 640
41, 20, 354.1580952380952, 0.012596803610904758, 990654978.954852, 654
42, 20, 363.36857142857133, 0.012638443192493331, 986556728.2102495, 668
43, 20, 360.34857142857146, 0.012353763851261905, 999883420.0042603, 683
44, 20, 383.0657142857143, 0.012341908217027615, 1012563391.5849817, 697
45, 20, 393.0895238095237, 0.012542610567201904, 999346514.128358, 710
46, 20, 380.0923809523809, 0.012707064776174285, 992692878.8823203, 724
47, 20, 387.4657142857142, 0.012958163936207622, 985849413.7296442, 737
48, 20, 371.6647619047619, 0.012725487768801906, 987851772.2546326, 751
49, 20, 329.79047619047617, 0.012306513246311428, 1011694026.4855726, 765
50, 20, 80.13714285714286, 0.0070718987876123825, 1852060646.3294823, 778
1, 25, 264.1952380952381, 0.012552616300178097, 936174388.9454406, 23
2, 25, 240.68857142857144, 0.012682309847845715, 920659853.2900368, 47
3, 25, 243.46380952380954, 0.012602747646323808, 921842091.8848076, 70
4, 25, 321.3009523809523, 0.012956047482144762, 920755136.6205069, 93
5, 25, 297.44476190476195, 0.013014661006968572, 920442062.2172452, 116
6, 25, 252.19428571428568, 0.01296226724120286, 921082205.480531, 138
7, 25, 281.5628571428571, 0.01294953909825524, 915929240.9660116, 160
8, 25, 282.51523809523803, 0.012934381630940954, 921370161.6302946, 181
9, 25, 332.50380952380954, 0.012822902016301907, 931980413.7114575, 203
10, 25, 347.7466666666666, 0.012834968942288565, 934823742.7720649, 224
11, 25, 289.19714285714286, 0.013114997306273331, 925466277.7813, 245
12, 25, 307.6390476190475, 0.013155411224092382, 924354848.8225439, 266
13, 25, 283.9666666666666, 0.01287516169619238, 931887789.4148742, 287
